Year	Name	Award	DOB
1939	Cecil B. DeMille	Palm d'Or	1881-08-12
1946	Fridrikh Ermler	Palm d'Or	1898-05-13
1946	František Čáp	Palm d'Or	1913-12-07
1946	Leopold Lindtberg	Palm d'Or	1902-06-01
1946	Alf Sjöberg	Palm d'Or	1903-06-21
1946	Emilio Fernández	Palm d'Or	1904-03-26
1946	Roberto Rossellini	Palm d'Or	1906-05-08
1946	Chetan Anand	Palm d'Or	1921-01-03
1946	David Lean	Palm d'Or	1908-03-25
1946	Jean Delannoy	Palm d'Or	1908-01-12
1946	Billy Wilder	Palm d'Or	1906-06-22
1946	Bodil Ipsen	Palm d'Or	1889-08-30
1946	Lau Lauritzen, Jr.	Palm d'Or	1910-06-26
1949	Carol Reed	Palm d'Or	1906-12-30
1951	Alf Sjöberg	Palm d'Or	1903-06-21
1951	Vittorio De Sica	Palm d'Or	
1952	Orson Welles	Palm d'Or	1915-05-06
1952	Renato Castellani	Palm d'Or	1913-09-04
1953	Henri-Georges Clouzot	Palm d'Or	1907-11-20
1954	Teinosuke Kinugasa	Palm d'Or	1896-01-01
1955	Delbert Mann	Palm d'Or	1920-01-30
1956	Jacques Cousteau	Palm d'Or	1910-06-11
1956	Louis Malle	Palm d'Or	1932-10-30
1957	William Wyler	Palm d'Or	1902-07-01
1958	Mikhail Kalatozov	Palm d'Or	1903-12-28
1959	Marcel Camus	Palm d'Or	1912-04-21
1960	Federico Fellini	Palm d'Or	1920-01-20
1961	Henri Colpi	Palm d'Or	1921-07-15
1961	Luis Buñuel	Palm d'Or	1900-02-22
1962	Anselmo Duarte	Palm d'Or	1920-04-21
1963	Luchino Visconti	Palm d'Or	1906-11-02
1964	Jacques Demy	Palm d'Or	1931-06-05
1965	Richard Lester	Palm d'Or	1932-01-19
1966	Claude Lelouch	Palm d'Or	1937-10-30
1966	Pietro Germi	Palm d'Or	
1967	Michelangelo Antonioni	Palm d'Or	1912-09-29
1969	Lindsay Anderson	Palm d'Or	1923-04-17
1970	Robert Altman	Palm d'Or	1925-02-20
1971	Joseph Losey	Palm d'Or	1909-01-14
1972	Elio Petri	Palm d'Or	1929-01-29
1972	Francesco Rosi	Palm d'Or	1922-11-15
1973	Alan Bridges	Palm d'Or	1927-09-28
1973	Jerry Schatzberg	Palm d'Or	1927-06-26
1974	Francis Ford Coppola	Palm d'Or	1939-04-07
1975	Mohammed Lakhdar-Hamina	Palm d'Or	
1976	Martin Scorsese	Palm d'Or	1942-11-17
1977	Paolo and Vittorio Taviani	Palm d'Or	
1978	Ermanno Olmi	Palm d'Or	1931-07-24
1979	Francis Ford Coppola	Palm d'Or	1939-04-07
1979	Volker Schlöndorff	Palm d'Or	1939-03-31
1980	Bob Fosse	Palm d'Or	1927-06-23
1980	Akira Kurosawa	Palm d'Or	1910-03-23
1981	Andrzej Wajda	Palm d'Or	1926-03-06
1982	Costa-Gavras	Palm d'Or	1933-02-12
1982	Yılmaz Güney	Palm d'Or	1937-04-01
1982	Şerif Gören	Palm d'Or	1944-10-14
1983	Shohei Imamura	Palm d'Or	1926-09-15
1984	Wim Wenders	Palm d'Or	1945-08-14
1985	Emir Kusturica	Palm d'Or	1954-11-24
1986	Roland Joffé	Palm d'Or	1945-11-17
1987	Maurice Pialat	Palm d'Or	1925-08-31
1988	Bille August	Palm d'Or	1948-11-09
1989	Steven Soderbergh	Palm d'Or	1963-01-14
1990	David Lynch	Palm d'Or	1946-01-20
1991	Coen brothers	Palm d'Or	1954-11-29
1992	Bille August	Palm d'Or	1948-11-09
1993	Chen Kaige	Palm d'Or	1952-08-12
1993	Jane Campion	Palm d'Or	1954-04-30
1994	Quentin Tarantino	Palm d'Or	1963-03-27
1995	Emir Kusturica	Palm d'Or	1954-11-24
1996	Mike Leigh	Palm d'Or	1943-02-20
1997	Abbas Kiarostami	Palm d'Or	1940-06-22
1997	Shohei Imamura	Palm d'Or	1926-09-15
1998	Theodoros Angelopoulos	Palm d'Or	1935-04-27
1999	Jean-Pierre Dardenne	Palm d'Or	1951-04-21
1999	Luc Dardenne	Palm d'Or	1951-04-21
2000	Lars von Trier	Palm d'Or	1956-04-30
2001	Nanni Moretti	Palm d'Or	1953-08-19
2002	Roman Polanski	Palm d'Or	1933-08-18
2003	Gus Van Sant	Palm d'Or	1952-07-24
2004	Michael Moore	Palm d'Or	1954-04-23
2005	Jean-Pierre Dardenne	Palm d'Or	1951-04-21
2005	Luc Dardenne	Palm d'Or	1951-04-21
2006	Ken Loach	Palm d'Or	1936-06-17
2007	Cristian Mungiu	Palm d'Or	1968-04-27
2008	Laurent Cantet	Palm d'Or	1961-06-15
2009	Michael Haneke	Palm d'Or	1942-03-23
2010	Apichatpong Weerasethakul	Palm d'Or	1970-07-16
2011	Terrence Malick	Palm d'Or	1943-11-30
2012	Michael Haneke	Palm d'Or	1942-03-23
2013	Abdellatif Kechiche	Palm d'Or	1960-12-07
2014	Nuri Bilge Ceylan	Palm d'Or	1959-01-26
2015	Jacques Audiard	Palm d'Or	1952-04-30
2016	Ken Loach	Palm d'Or	1936-06-17
2017	Ruben Östlund	Palm d'Or	1974-04-13
2018	Hirokazu Kore-eda	Palm d'Or	1962-06-06
2019	Bong Joon-Ho	Palm d'Or 	1969-09-14
1946	Michèle Morgan	Best actress	1920-02-29
1949	Isa Miranda	Best actress	1909-07-05
1951	Bette Davis	Best actress	1908-04-05
1952	Lee Grant	Best actress	
1953	Shirley Booth	Best actress	1898-08-30
1954	Maria Schell	Best actress	1926-01-15
1956	Susan Hayward	Best actress	1917-06-30
1957	Giulietta Masina	Best actress	1921-02-22
1958	Eva Dahlbeck	Best actress	1920-03-08
1958	Bibi Andersson	Best actress	1935-11-11
1958	Barbro Hiort af Ornäs	Best actress	1921-08-28
1958	Ingrid Thulin	Best actress	1926-01-27
1958	Tatiana Samoilova	Best actress	1934-05-04
1959	Simone Signoret	Best actress	1921-03-25
1960	Jeanne Moreau	Best actress	1928-01-23
1960	Melina Mercouri	Best actress	1920-10-18
1961	Sophia Loren	Best actress	1934-09-20
1962	Katharine Hepburn	Best actress	1907-05-12
1962	Rita Tushingham	Best actress	1942-03-14
1963	Marina Vlady	Best actress	1938-05-10
1964	Barbara Barrie	Best actress	1931-05-23
1964	Anne Bancroft	Best actress	1931-09-17
1965	Samantha Eggar	Best actress	1939-03-05
1965	Vera Kuznetsova	Best actress	
1966	Vanessa Redgrave	Best actress	1937-01-30
1967	Pia Degermark	Best actress	
1969	Vanessa Redgrave	Best actress	1937-01-30
1970	Ottavia Piccolo	Best actress	1949-10-09
1971	Kitty Winn	Best actress	1944-02-21
1971	Mari Törőcsik	Best actress	1935-11-23
1971	Lili Darvas	Best actress	1902-04-10
1972	Susannah York	Best actress	1939-01-09
1973	Joanne Woodward	Best actress	1930-02-27
1974	Marie-José Nat	Best actress	1940-04-22
1975	Valérie Perrine	Best actress	1943-09-03
1976	Dominique Sanda	Best actress	1948-03-11
1976	Mari Törőcsik	Best actress	1935-11-23
1977	Shelley Duvall	Best actress	1949-07-07
1977	Monique Mercure	Best actress	
1978	Jill Clayburgh	Best actress	1944-04-30
1978	Isabelle Huppert	Best actress	1953-03-16
1979	Sally Field	Best actress	1946-11-06
1979	Eva Mattes	Best actress	
1980	Anouk Aimée	Best actress	1932-04-27
1980	Milena Dravić	Best actress	1940-10-05
1980	Carla Gravina	Best actress	1941-08-05
1981	Isabelle Adjani	Best actress	1955-06-27
1981	Yelena Solovey	Best actress	1947-02-24
1982	Jadwiga Jankowska-Cieślak	Best actress	1951-02-15
1983	Hanna Schygulla	Best actress	1943-12-25
1984	Helen Mirren	Best actress	1945-07-26
1985	Cher	Best actress	1946-05-20
1985	Norma Aleandro	Best actress	1936-05-02
1986	Barbara Sukowa	Best actress	1950-02-02
1986	Fernanda Torres	Best actress	1965-09-15
1987	Barbara Hershey	Best actress	1948-02-05
1988	Barbara Hershey	Best actress	1948-02-05
1988	Jodhi May	Best actress	1975-05-08
1988	Linda Mvusi	Best actress	
1989	Meryl Streep	Best actress	1949-06-22
1990	Krystyna Janda	Best actress	1952-12-18
1991	Irène Jacob	Best actress	1966-07-15
1992	Pernilla August	Best actress	1958-02-13
1993	Holly Hunter	Best actress	1958-03-20
1994	Virna Lisi	Best actress	1936-11-08
1995	Helen Mirren	Best actress	1945-07-26
1996	Brenda Blethyn	Best actress	1946-02-20
1997	Kathy Burke	Best actress	1964-06-13
1998	Élodie Bouchez	Best actress	1973-04-05
1998	Natacha Régnier	Best actress	1974-04-11
1999	Séverine Caneele	Best actress	1974-05-10
1999	Émilie Dequenne	Best actress	1981-08-29
2000	Björk	Best actress	1965-11-21
2001	Isabelle Huppert	Best actress	1953-03-16
2002	Kati Outinen	Best actress	1961-08-17
2003	Marie-Josée Croze	Best actress	1970-02-23
2004	Maggie Cheung	Best actress	1964-09-20
2005	Hanna Laslo	Best actress	1953-06-14
2006	Penélope Cruz	Best actress	1974-04-28
2006	Carmen Maura	Best actress	1945-09-15
2006	Lola Dueñas	Best actress	1971-10-06
2006	Blanca Portillo	Best actress	1963-06-15
2006	Yohana Cobo	Best actress	1985-01-12
2006	Chus Lampreave	Best actress	1930-12-11
2007	Jeon Do-yeon	Best actress	1973-02-11
2008	Sandra Corveloni	Best actress	1965-05-09
2009	Charlotte Gainsbourg	Best actress	1971-07-21
2010	Juliette Binoche	Best actress	1964-03-09
2011	Kirsten Dunst	Best actress	1982-04-30
2012	Cristina Flutur	Best actress	
2012	Cosmina Stratan	Best actress	1984-10-20
2013	Bérénice Bejo	Best actress	1976-07-07
2014	Julianne Moore	Best actress	1960-12-03
2015	Rooney Mara	Best actress	1985-04-17
2015	Emmanuelle Bercot	Best actress	1967-11-06
2016	Jaclyn Jose	Best actress	1964-03-16
2017	Diane Kruger	Best actress	1976-07-15
2018	Samal Yeslyamova	Best actress	1984-09-01
2019	Emily Beecham	Best actress	1984-05-12
1946	Ray Milland	Best actor	1907-01-03
1949	Edward G. Robinson	Best actor	1893-12-12
1951	Michael Redgrave	Best actor	1908-03-20
1952	Marlon Brando	Best actor	1924-04-03
1955	Spencer Tracy	Best actor	1900-04-05
1957	John Kitzmiller	Best actor	1913-12-04
1958	Paul Newman	Best actor	1925-01-26
1959	Bradford Dillman	Best actor	1930-04-14
1959	Dean Stockwell	Best actor	1936-03-05
1959	Orson Welles	Best actor	1915-05-06
1961	Anthony Perkins	Best actor	1932-04-04
1962	Dean Stockwell	Best actor	1936-03-05
1962	Jason Robards	Best actor	1922-07-26
1962	Ralph Richardson	Best actor	
1962	Murray Melvin	Best actor	1932-08-10
1963	Richard Harris	Best actor	1930-10-01
1964	Antal Páger	Best actor	1899-01-29
1964	Saro Urzì	Best actor	1913-02-24
1965	Terence Stamp	Best actor	1938-07-22
1966	Per Oscarsson	Best actor	1927-01-28
1967	Oded Kotler	Best actor	1937-05-06
1969	Jean-Louis Trintignant	Best actor	1930-12-11
1970	Marcello Mastroianni	Best actor	1924-09-28
1971	Riccardo Cucciolla	Best actor	1924-09-05
1972	Jean Yanne	Best actor	1933-07-18
1973	Giancarlo Giannini	Best actor	1942-08-01
1974	Jack Nicholson	Best actor	1937-04-22
1975	Vittorio Gassman	Best actor	1922-09-01
1976	José Luis Gómez	Best actor	1940-04-19
1977	Fernando Rey	Best actor	1917-09-20
1978	Jon Voight	Best actor	1938-12-29
1979	Jack Lemmon	Best actor	1925-02-08
1980	Michel Piccoli	Best actor	1925-12-27
1981	Ugo Tognazzi	Best actor	1922-03-23
1982	Jack Lemmon	Best actor	1925-02-08
1983	Gian Maria Volontè	Best actor	1933-04-09
1984	Alfredo Landa	Best actor	1933-03-03
1984	Francisco Rabal	Best actor	1926-03-08
1985	William Hurt	Best actor	1950-03-20
1986	Michel Blanc	Best actor	1952-04-16
1986	Bob Hoskins	Best actor	1942-10-26
1987	Marcello Mastroianni	Best actor	1924-09-28
1988	Forest Whitaker	Best actor	1961-07-15
1989	James Spader	Best actor	1960-02-07
1990	Gérard Depardieu	Best actor	1948-12-27
1991	John Turturro	Best actor	1957-02-28
1992	Tim Robbins	Best actor	1958-10-16
1993	David Thewlis	Best actor	1963-03-20
1994	Ge You	Best actor	1957-04-19
1995	Jonathan Pryce	Best actor	1947-06-01
1996	Pascal Duquenne	Best actor	1970-08-08
1996	Daniel Auteuil	Best actor	1950-01-24
1997	Sean Penn	Best actor	1960-08-17
1998	Peter Mullan	Best actor	1959-11-02
2000	Tony Leung Chiu Wai	Best actor	1962-06-27
2001	Benoît Magimel	Best actor	1974-05-11
2002	Olivier Gourmet	Best actor	1963-07-22
2003	Muzaffer Özdemir	Best actor	
2003	Mehmet Emin Toprak	Best actor	1974-09-11
2004	Yûya Yagira	Best actor	1990-03-26
2005	Tommy Lee Jones	Best actor	1946-09-15
2006	Jamel Debbouze	Best actor	1975-06-18
2006	Samy Naceri	Best actor	1961-07-02
2006	Roschdy Zem	Best actor	1965-09-27
2006	Sami Bouajila	Best actor	1966-05-12
2006	Bernard Blancan	Best actor	1958-09-09
2007	Konstantin Lavronenko	Best actor	
2008	Benicio del Toro	Best actor	1967-02-19
2009	Christoph Waltz	Best actor	1956-10-04
2010	Javier Bardem	Best actor	1969-03-01
2010	Elio Germano	Best actor	1980-09-25
2011	Jean Dujardin	Best actor	1972-06-19
2012	Mads Mikkelsen	Best actor	1965-11-22
2013	Bruce Dern	Best actor	1936-06-04
2014	Timothy Spall	Best actor	1957-02-27
2015	Vincent Lindon	Best actor	1959-07-15
2016	Shahab Hosseini	Best actor	1943-02-03
2017	Joaquin Phoenix	Best actor	1974-10-28
2018	Marcello Fonte	Best actor	1978-11-07
2019	Antonio Banderas	Best actor	1960-08-10
1946	René Clément	Best director	1913-03-18
1949	René Clément	Best director	1913-03-18
1951	Luis Buñuel	Best director	1900-02-22
1952	Christian-Jaque	Best director	1904-09-04
1955	Jules Dassin	Best director	1911-12-18
1955	Sergei Vasilyev	Best director	1900-11-04
1956	Sergei Yutkevich	Best director	1904-12-28
1957	Robert Bresson	Best director	1901-09-25
1958	Ingmar Bergman	Best director	1918-07-14
1959	François Truffaut	Best director	1932-02-06
1961	Yuliya Solntseva	Best director	1901-08-07
1965	Liviu Ciulei	Best director	
1966	Sergei Yutkevich	Best director	1904-12-28
1967	Ferenc Kósa	Best director	1937-11-21
1969	Glauber Rocha	Best director	1939-03-14
1969	Vojtěch Jasný	Best director	
1970	John Boorman	Best director	1933-01-18
1972	Miklós Jancsó	Best director	1921-09-27
1975	Michel Brault	Best director	1928-06-25
1975	Costa Gavras	Best director	1933-02-12
1976	Ettore Scola	Best director	
1978	Nagisa Oshima	Best director	1932-03-31
1979	Terrence Malick	Best director	1943-11-30
1982	Werner Herzog	Best director	1942-09-05
1983	Robert Bresson	Best director	1901-09-25
1983	Andrei Tarkovsky	Best director	1932-04-04
1984	Bertrand Tavernier	Best director	1941-04-25
1985	André Téchiné	Best director	1943-03-13
1986	Martin Scorsese	Best director	1942-11-17
1987	Wim Wenders	Best director	1945-08-14
1988	Fernando Solanas	Best director	1936-02-16
1989	Emir Kusturica	Best director	1954-11-24
1990	Pavel Lungin	Best director	1949-07-12
1991	Joel Coen	Best director	1954-11-29
1992	Robert Altman	Best director	1925-02-20
1993	Mike Leigh	Best director	1943-02-20
1994	Nanni Moretti	Best director	1953-08-19
1995	Mathieu Kassovitz	Best director	1967-08-03
1996	Joel Coen	Best director	1954-11-29
1997	Wong Kar-wai	Best director	1958-07-17
1998	John Boorman	Best director	1933-01-18
1999	Pedro Almodóvar	Best director	1949-09-25
2000	Edward Yang	Best director	1947-11-06
2001	Joel Coen	Best director	1954-11-29
2001	David Lynch	Best director	1946-01-20
2002	Im Kwon-taek	Best director	
2002	Paul Thomas Anderson	Best director	1970-06-26
2003	Gus Van Sant	Best director	1952-07-24
2004	Tony Gatlif	Best director	1948-09-10
2005	Michael Haneke	Best director	1942-03-23
2006	Alejandro González Iñárritu	Best director	1963-08-15
2007	Julian Schnabel	Best director	1951-10-26
2008	Nuri Bilge Ceylan	Best director	1959-01-26
2009	Brillante Mendoza	Best director	1960-07-30
2010	Mathieu Amalric	Best director	1965-10-25
2011	Nicolas Winding Refn	Best director	1970-09-29
2012	Carlos Reygadas	Best director	1971-10-10
2013	Amat Escalante	Best director	1979-02-28
2014	Bennett Miller	Best director	1966-12-30
2015	Hou Hsiao-hsien	Best director	1947-04-08
2016	Cristian Mungiu	Best director	1968-04-27
2016	Olivier Assayas	Best director	1955-01-25
2017	Sofia Coppola	Best director	1971-05-14
2018	Pawel Pawlikowski	Best director	1957-09-15
2019	Luc Dardenne	Best director	1951-04-21
2019	Jean-Pierre Dardenne	Best director	1951-04-21